"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&base_name=Trilobita&interval=Devonian&show=coords,timecompare"
"Access Time","Sat 2024-12-07 13:57:49 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Trilobita"
"","interval","Devonian"
"","timerule","major"
"","taxon_status","all"
"","show","coords,timecompare"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","time_contain","time_major","time_buffer","time_overlap"
"10704","occ","","","613","Phacopida ? indet.","order","21421","","Phacopida","order","21421","Eifelian","","393.3","387.7","61511","-78.000000","39.666668","Eifelian","Eifelian","Eifelian","Eifelian"
"10745","occ","","","616","Leonaspis sp.","genus","19814","","Leonaspis","genus","19814","Eifelian","","393.3","387.7","61110","7.833333","51.000000","Eifelian","Eifelian","Eifelian","Eifelian"
"10746","occ","","","616","Proetus sp.","genus","21327","","Proetus","genus","21327","Eifelian","","393.3","387.7","61110","7.833333","51.000000","Eifelian","Eifelian","Eifelian","Eifelian"
"10784","occ","","","619","Otarion sp.","genus","21275","","Otarion","genus","21275","Eifelian","Givetian","393.3","382.7","61512","-124.000000","61.250000","-","Eifelian","Eifelian, Givetian","Eifelian, Givetian"
"10811","occ","","","621","Proetida ? indet.","order","21062","","Proetida","order","21062","Eifelian","Givetian","393.3","382.7","61512","-95.000000","70.000000","-","Eifelian","Eifelian, Givetian","Eifelian, Givetian"
"10820","occ","","","622","Dechenella sp.","genus","21144","","Dechenella","genus","21144","Eifelian","Givetian","393.3","382.7","61512","-95.000000","70.000000","-","Eifelian","Eifelian, Givetian","Eifelian, Givetian"
"10971","occ","","","627","Dechenella sp.","genus","21144","","Dechenella","genus","21144","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"10972","occ","","","627","Phacops sp.","genus","21701","","Phacops","genus","21701","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"10973","occ","","","627","Greenops sp.","genus","21588","","Greenops","genus","21588","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"10974","occ","","","627","Trimerus sp.","genus","21805","","Trimerus","genus","21805","Givetian","","387.7","382.7","841","-77.250000","40.500000","Givetian","Givetian","Givetian","Givetian"
"11038","occ","","","632","Proetus sp.","genus","21327","","Proetus","genus","21327","Frasnian","","382.7","372.2","61501","-113.199997","46.408333","Frasnian","Frasnian","Frasnian","Frasnian"
"11099","occ","","","640","Trimerocephalus sp.","genus","21804","","Trimerocephalus","genus","21804","Late Devonian","","382.7","358.9","60994","-4.000000","50.733334","-","Famennian","Famennian","Frasnian, Famennian"
"11149","occ","","","643","Trilobita indet.","class","19100","","Trilobita","class","19100","Late Famennian","","365.3","358.9","61147","-112.539444","46.011391","Famennian","Famennian","Famennian","Famennian"
"11186","occ","","","645","Proetida indet.","order","21062","","Proetida","order","21062","Famennian","","372.2","358.9","60985","7.833333","51.000000","Famennian","Famennian","Famennian","Famennian"
